system:index,B11,B4,B5,B8,EVI,NDRE,NDVI,NDWI,date,.geo
20220219T081959_20220219T084013_T34HCJ,0.2820590705629345,0.11697082521721544,0.14400069181553482,0.21084115920125981,0.16736374776241664,0.1805351448726582,0.2867768423741973,-0.15798230810333813,2022-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224T081931_20220224T084619_T34HCH,0.26161364539190385,0.10576972364430547,0.13737423017545858,0.19628886685811375,0.16237270069288412,0.16586495284134897,0.2975404064123541,-0.16101880197071483,2022-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224T081931_20220224T084619_T34HCJ,0.2823366165324016,0.11766116939409224,0.14823383887945116,0.20561422573791432,0.8955924394632512,0.1547066210751663,0.2725955732109924,-0.16878663939226962,2022-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301T081749_20220301T084513_T34HCJ,0.28567913845637605,0.13171634810312494,0.16069998970688687,0.2124331614359623,1.475568453685664,0.14305613922360672,0.25119174916617787,-0.16590729734953302,2022-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306T081821_20220306T084620_T34HCH,0.25743061323952515,0.103658119714014,0.134998646443329,0.1900017099708945,0.15584583221761705,0.15963868307990858,0.2935348643525227,-0.16811533442217247,2022-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306T081821_20220306T084620_T34HCJ,0.27976702361574174,0.1158161275485416,0.14646184639563795,0.20009137512611191,0.14844927647590064,0.14843946152932763,0.26963772168633476,-0.17808914896959463,2022-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316T081701_20220316T083808_T34HCH,0.27578033672525176,0.13864991801083149,0.17018580435280126,0.22178719523077212,-1.1697052248251436,0.15169238896732276,0.27752300173573413,-0.13958970001753065,2022-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316T081701_20220316T083808_T34HCJ,0.2744947932311733,0.11870765461837676,0.14862698954636952,0.20397590838863025,-0.8788476700985824,0.15955432426623184,0.282069671202136,-0.16310849954289813,2022-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321T081629_20220321T084636_T34HCH,0.24531829418941226,0.09835054352710325,0.12782851062690015,0.18303145784152505,0.15925712194937594,0.16962195020805862,0.3036511260120352,-0.1637468055230551,2022-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321T081629_20220321T084636_T34HCJ,0.2635991948025736,0.10604366729560627,0.134850238904962,0.18900035711626514,0.15205481008854072,0.16250621303421162,0.286533764459516,-0.17695693990781344,2022-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326T081611_20220326T084617_T34HCH,0.264174123151328,0.14130974648342484,0.17240095546158987,0.22197094970969142,2.358859825353004,0.15309860497552108,0.2787114776696228,-0.11736836506872118,2022-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326T081611_20220326T084617_T34HCJ,0.28149868677066286,0.1468686154426116,0.1768093504648553,0.22681705656047843,0.15056706427700367,0.1458353744551007,0.26119348303189366,-0.13295364947283628,2022-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220410T081559_20220410T084842_T34HCH,0.22587734291068637,0.09019481335865655,0.11720211913544214,0.1740593090208664,0.15858910702957232,0.19566303841444702,0.3337507069088952,-0.14679849825023925,2022-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
